Region,Provincia,Comuna,Caleta,Especie,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,TOTAL
2,Antofagasta,Antofagasta,LA CHIMBA,LAPA NEGRA,0,0,0,0,1.48,11.375,7.622,0.4,0,3,0,0,23.877
2,Antofagasta,Antofagasta,LA CHIMBA,LENGUADO,0,0,0,0,0.28,0.535,0.094,0.078,0.015,0.055,0,0.039,1.096
2,Antofagasta,Antofagasta,LA CHIMBA,PIURE,0,0,0,0,1.13,2.758,1.02,0.2,0.04,1.7,0,0,6.848
2,Antofagasta,Antofagasta,LA CHIMBA,PULPO DEL NORTE,0,0,31.728,10.608,12.838,0,0,16.557,7.587,17.099,0,0,96.417
2,Antofagasta,Antofagasta,LA CHIMBA,ROLLIZO,0,0,0,0,0,0,0,0.007,0,0,0,0,0.007
2,Antofagasta,Antofagasta,LA CHIMBA,TOMOYO,0,0,0,0.01,0.027,0.016,0.055,0,0,0.015,0,0,0.123
2,Antofagasta,Mejillones,HORNITOS (HORNOS),ALMEJA,0.05,0,0.1,0.88,0.06,0.042,0.375,0.205,0.035,0.79,1.36,1.25,5.147
2,Antofagasta,Mejillones,HORNITOS (HORNOS),ANCHOVETA,0,0,38.82,0,0,0,0,0,0,0,0,0,38.82
2,Antofagasta,Mejillones,HORNITOS (HORNOS),APAÑADO,0,0,0.006,0,0.008,0.01,0,0,0,0,0,0,0.024
2,Antofagasta,Mejillones,HORNITOS (HORNOS),BRECA O BILAGAY,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02
2,Antofagasta,Mejillones,HORNITOS (HORNOS),CABRILLA COMUN,0.065,0,0,0.11,0.015,0.025,0,0,0,0,0,0,0.215
2,Antofagasta,Mejillones,HORNITOS (HORNOS),CABRILLA ESPAÑOLA,0.003,0,0.014,0,0.03,0,0,0,0,0,0,0,0.047
2,Antofagasta,Mejillones,HORNITOS (HORNOS),CARACOL LOCATE,0,0,0.025,0,0,0,0,0,0,0,5.25,2.6,7.875
2,Antofagasta,Mejillones,HORNITOS (HORNOS),COJINOBA DEL NORTE / PIAFRI,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02
2,Antofagasta,Mejillones,HORNITOS (HORNOS),CONGRIO COLORADO,0.035,0.197,0,0,0,0,0,0,0,0,0,0,0.232
